video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date,bias,weight,classifs,classif,pick,round,rec_from,topic_n,topic
VYa_Khpaz40,CBS News,UC8p1vwvWtl6T73JiExfWs1g,1376989601.0,What was behind U.K. authorities&#39; stop of Glen Greenwald&#39;s companion?,British police detained David Miranda at London's Heathrow Airport and questioned him for nine hours. Former assistant director of the FBI John Miller discusses ...,,https://i.ytimg.com/vi/VYa_Khpaz40/hqdefault.jpg,2020-11-02 20:58:13.543966,Right,-0.2,"['Mainstream News', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start,0,Glen Greenwald
z7THizP03Og,Catraca Livre,UCv2svvDbMNunUuPs8hUUKVA,1560544332.0,#VazaJato: Bancada do PSL convoca e desconvoca Glen Greenwald no mesmo dia | Catraca Livre,"O deputado federal Daniel Silveira (PSL-RJ) apresentou na quarta-feira, dia 12, um requerimento na Comissão de Segurança Pública da Câmara para ...",,https://i.ytimg.com/vi/z7THizP03Og/hqdefault.jpg,2020-11-02 20:58:13.544034,Right,0.0,['None'],Neutral,False,0,start,0,Glen Greenwald
l8pkCZBjgrk,Fox News,UCXIJgqnII2ZOINSWNOGFThA,1604046610.0,Glenn Greenwald on resigning from his own publication due to censorship,"Founder of the Intercept, Glenn Greenwald, joins 'Tucker Carlson Tonight' after resigning due to censorship from editorial staff. #FoxNews #Tucker Subscribe to ...",,https://i.ytimg.com/vi/l8pkCZBjgrk/hqdefault.jpg,2020-11-02 20:58:13.544074,Right,1.1428571428571428,"['PartisanRight', 'PartisanRight', 'Mainstream News', 'PartisanRight', 'Mainstream News', 'PartisanRight', 'Mainstream News']",Right,True,0,start,0,Glen Greenwald
xB26jj0jrjc,The Intercept,UCv002AUCZaPNwiADqwchijg,1589504411.0,The Sham Prosecution of Michael Flynn - System Update with Glenn Greenwald,"On this week's episode of System Update, Glenn Greenwald does an in-depth exploration of the prosecution of former National Security Advisor Michael Flynn, ...",,https://i.ytimg.com/vi/xB26jj0jrjc/hqdefault.jpg,2020-11-02 20:58:13.544108,Right,-2.2857142857142856,"['PartisanLeft', 'PartisanLeft', 'Socialist', 'PartisanLeft', 'SocialJustice', 'PartisanLeft', 'SocialJustice']",Far Left,False,0,start,0,Glen Greenwald
XMtndzXKOc8,Rede TVT,UCmQTY7b5w61WlmBbJ5a8XrQ,1564555064.0,"Glen Greenwald: Se hackers são reais, material pode ser esclarecedor","A Associação Brasileira de Imprensa (ABI) promoveu nesta terça-feira (30) ato em defesa do jornalista Glenn Greenwald, editor do The Intercept Brasil.",,https://i.ytimg.com/vi/XMtndzXKOc8/hqdefault.jpg,2020-11-02 20:58:13.544150,Right,0.0,['None'],Neutral,False,0,start,0,Glen Greenwald
w_1JvDDscvM,CNN,UCupvZG-5ko_eiXAupbDfxWw,1469148622.0,WHITE HOUSE BRFG-GLEN GREENWALD&#39;S PARTNER DETAINED,"White House was given ""heads-up"" over David Miranda detention in UK. To License This Clip, Click Here: ...",,https://i.ytimg.com/vi/w_1JvDDscvM/hqdefault.jpg,2020-11-02 20:58:13.544187,Right,0.0,"['Mainstream News', 'PartisanLeft', 'Conspiracy', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News']",Neutral,False,0,start,0,Glen Greenwald
0zMSZuTPJB4,Roda Viva,UCNVsZnDXOM4PodYIEgM2e4w,1567506527.0,Roda Viva | Glenn Greenwald | 02/09/2019,"No Roda Viva, a jornalista Daniela Lima recebe o jornalista, advogado e cofundador do site The Intercept Brasil, Glenn Greenwald. Com passagens pelo jornal ...",,https://i.ytimg.com/vi/0zMSZuTPJB4/hqdefault.jpg,2020-11-02 20:58:13.544217,Right,0.0,['None'],Neutral,False,0,start,0,Glen Greenwald
1u_OxQa8sDM,teleSUR tv,UCbHFKMtqLYkIBRiPHJwxu_w,1381444562.0,Glen Greenwald acusa a EE.UU. de luchar contra el periodismo,"El periodista Glenn Greenwald, uno de los contactos del exanalista de la Agencia Nacional de Seguridad, Edward Snowden, señaló a los Gobiernos de ...",,https://i.ytimg.com/vi/1u_OxQa8sDM/hqdefault.jpg,2020-11-02 20:58:13.544249,Right,0.0,['None'],Neutral,False,0,start,0,Glen Greenwald
UrFyIgAxO8g,Catraca Livre,UCv2svvDbMNunUuPs8hUUKVA,1562299528.0,#PulitzerDeTaubaté: Glenn Greenwald vira alvo de mentiras no Twitter | Catraca Livre,"O Twitter amanheceu nesta quinta-feira, 4, com uma hashtag que põe em cheque a veracidade do prêmio Pulitzer que Glenn Greenwald levou em 2014, ...",,https://i.ytimg.com/vi/UrFyIgAxO8g/hqdefault.jpg,2020-11-02 20:58:13.544286,Right,0.0,['None'],Neutral,False,0,start,0,Glen Greenwald
7Mv0209CLqg,Jornal da Gazeta,UCNl_i-ggJbZNyOLlhE7yyhw,1579846850.0,Defesa pede que justiça rejeite denúncia contra Glenn Greenwald,A defesa do jornalista Glenn Greenwald pediu à justiça que rejeite denúncia contra ele.,,https://i.ytimg.com/vi/7Mv0209CLqg/hqdefault.jpg,2020-11-02 20:58:13.544332,Right,0.0,['None'],Neutral,False,0,start,0,Glen Greenwald
